x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.000E-03,,,,
-15.000E-03,+6.952E-03,-5.010E-03,-3.767E-03,-35.771E-03
-10.000E-03,+5.287E-03,-5.010E-03,-3.767E-03,-35.168E-03
-5.000E-03,-11.854E-03,-5.010E-03,-3.767E-03,-36.424E-03
-0.0E+00,-10.289E-03,-5.010E-03,-3.767E-03,-36.424E-03
+5.000E-03,+7.529E-03,-5.010E-03,-3.807E-03,-36.424E-03
+10.000E-03,+5.732E-03,-5.010E-03,-3.767E-03,-36.424E-03
+15.000E-03,-11.376E-03,-4.879E-03,-3.767E-03,-36.424E-03
+20.000E-03,-9.778E-03,-4.919E-03,-3.858E-03,-36.424E-03
+25.000E-03,+7.430E-03,-4.758E-03,-3.767E-03,-35.419E-03
+30.000E-03,+5.617E-03,-4.758E-03,-3.777E-03,-36.424E-03
+35.000E-03,-11.854E-03,-4.758E-03,-3.767E-03,-36.424E-03
+40.000E-03,-9.975E-03,-4.939E-03,-3.838E-03,-35.168E-03
+45.000E-03,+7.216E-03,-4.758E-03,-3.767E-03,-36.424E-03
+50.000E-03,+5.370E-03,-4.758E-03,-3.767E-03,-35.671E-03
+55.000E-03,-11.706E-03,-4.758E-03,-3.767E-03,-35.168E-03
+60.000E-03,-9.959E-03,-4.758E-03,-3.787E-03,-36.424E-03
+65.000E-03,+7.512E-03,-4.758E-03,-3.787E-03,-36.424E-03
+70.000E-03,+5.436E-03,-4.758E-03,-3.767E-03,-36.424E-03
+75.000E-03,-11.607E-03,-4.909E-03,-3.918E-03,-36.424E-03
+80.000E-03,-9.893E-03,-5.010E-03,-3.767E-03,-36.424E-03
+85.000E-03,+7.298E-03,-5.010E-03,-3.948E-03,-36.424E-03
+90.000E-03,+5.650E-03,-4.789E-03,-3.767E-03,-36.424E-03
+95.000E-03,-12.184E-03,-4.758E-03,-3.777E-03,-36.424E-03
+100.000E-03,-10.124E-03,-4.959E-03,-3.767E-03,-36.424E-03
+105.000E-03,+7.331E-03,-4.849E-03,-3.767E-03,-36.424E-03
+110.000E-03,+5.238E-03,-5.010E-03,-3.767E-03,-36.424E-03
+115.000E-03,-11.624E-03,-5.010E-03,-3.767E-03,-35.168E-03
+120.000E-03,-10.041E-03,-4.758E-03,-3.767E-03,-36.424E-03
+125.000E-03,+7.430E-03,-4.758E-03,-4.019E-03,-36.424E-03
+130.000E-03,+5.485E-03,-4.758E-03,-3.767E-03,-35.369E-03
+135.000E-03,-11.706E-03,-4.839E-03,-3.767E-03,-36.022E-03
+140.000E-03,-10.008E-03,-4.879E-03,-3.888E-03,-35.771E-03
+145.000E-03,+7.232E-03,-4.758E-03,-4.019E-03,-36.424E-03
+150.000E-03,+5.370E-03,-4.809E-03,-4.019E-03,-36.424E-03
+155.000E-03,-12.019E-03,-4.758E-03,-4.008E-03,-36.424E-03
+160.000E-03,-9.860E-03,-4.789E-03,-3.988E-03,-36.274E-03
+165.000E-03,+7.512E-03,-4.758E-03,-4.019E-03,-36.424E-03
