x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.000E-03,,,,
-15.000E-03,-14.637E-03,-5.010E-03,-3.898E-03,-33.912E-03
-10.000E-03,-5.551E-03,-5.010E-03,-3.938E-03,-33.912E-03
-5.000E-03,+9.387E-03,-5.010E-03,-4.019E-03,-33.912E-03
-0.0E+00,+415E-06,-5.010E-03,-4.019E-03,-33.912E-03
+5.000E-03,-14.942E-03,-5.010E-03,-3.807E-03,-33.912E-03
+10.000E-03,-5.551E-03,-5.010E-03,-3.767E-03,-33.912E-03
+15.000E-03,+9.484E-03,-5.010E-03,-4.019E-03,-33.912E-03
+20.000E-03,-4E-06,-4.849E-03,-3.858E-03,-33.912E-03
+25.000E-03,-14.942E-03,-4.758E-03,-3.767E-03,-33.912E-03
+30.000E-03,-5.792E-03,-5.010E-03,-3.767E-03,-33.912E-03
+35.000E-03,+9.468E-03,-5.010E-03,-3.767E-03,-33.912E-03
+40.000E-03,+45E-06,-5.010E-03,-3.767E-03,-33.912E-03
+45.000E-03,-14.733E-03,-5.010E-03,-3.878E-03,-33.912E-03
+50.000E-03,-5.535E-03,-5.010E-03,-3.767E-03,-33.912E-03
+55.000E-03,+9.452E-03,-5.010E-03,-3.767E-03,-33.912E-03
+60.000E-03,-36E-06,-5.010E-03,-3.787E-03,-33.912E-03
+65.000E-03,-15.135E-03,-5.010E-03,-4.019E-03,-33.912E-03
+70.000E-03,-5.567E-03,-5.010E-03,-3.767E-03,-33.912E-03
+75.000E-03,+9.178E-03,-5.010E-03,-3.767E-03,-33.912E-03
+80.000E-03,-277E-06,-5.010E-03,-3.878E-03,-33.912E-03
+85.000E-03,-14.685E-03,-5.010E-03,-3.838E-03,-33.912E-03
+90.000E-03,-5.744E-03,-5.010E-03,-3.797E-03,-33.912E-03
+95.000E-03,+9.596E-03,-5.010E-03,-3.767E-03,-33.912E-03
+100.000E-03,-229E-06,-5.010E-03,-3.767E-03,-33.912E-03
+105.000E-03,-14.830E-03,-5.010E-03,-4.019E-03,-33.912E-03
+110.000E-03,-5.310E-03,-5.010E-03,-3.898E-03,-33.912E-03
+115.000E-03,+9.516E-03,-5.010E-03,-3.767E-03,-33.912E-03
+120.000E-03,+254E-06,-5.010E-03,-3.767E-03,-33.912E-03
+125.000E-03,-14.862E-03,-5.010E-03,-4.019E-03,-33.912E-03
+130.000E-03,-5.519E-03,-5.010E-03,-3.807E-03,-33.912E-03
+135.000E-03,+9.548E-03,-5.010E-03,-3.767E-03,-33.912E-03
+140.000E-03,-293E-06,-5.010E-03,-3.767E-03,-33.912E-03
+145.000E-03,-14.749E-03,-5.010E-03,-3.767E-03,-33.912E-03
+150.000E-03,-5.294E-03,-5.010E-03,-3.767E-03,-33.912E-03
+155.000E-03,+9.677E-03,-5.010E-03,-3.767E-03,-33.912E-03
+160.000E-03,-213E-06,-5.010E-03,-3.767E-03,-33.912E-03
+165.000E-03,-14.814E-03,-5.010E-03,-3.767E-03,-33.912E-03
