x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.000E-03,,,,
-15.000E-03,-3.385E-03,-5.010E-03,-3.767E-03,-35.821E-03
-10.000E-03,+7.621E-03,-5.010E-03,-3.767E-03,-35.168E-03
-5.000E-03,-3.584E-03,-5.010E-03,-4.019E-03,-35.168E-03
-0.0E+00,-14.307E-03,-5.010E-03,-3.767E-03,-35.168E-03
+5.000E-03,-2.510E-03,-5.010E-03,-3.767E-03,-35.168E-03
+10.000E-03,+8.804E-03,-5.010E-03,-3.767E-03,-35.168E-03
+15.000E-03,-3.224E-03,-5.010E-03,-3.767E-03,-35.168E-03
+20.000E-03,-14.673E-03,-5.010E-03,-3.767E-03,-35.168E-03
+25.000E-03,-3.147E-03,-5.010E-03,-3.767E-03,-35.419E-03
+30.000E-03,+7.048E-03,-5.010E-03,-3.767E-03,-35.168E-03
+35.000E-03,-4.523E-03,-5.010E-03,-3.767E-03,-35.168E-03
+40.000E-03,-14.975E-03,-5.010E-03,-3.767E-03,-35.168E-03
+45.000E-03,-3.314E-03,-5.010E-03,-3.767E-03,-35.168E-03
+50.000E-03,+7.273E-03,-5.010E-03,-3.767E-03,-35.168E-03
+55.000E-03,-3.931E-03,-5.010E-03,-3.767E-03,-35.168E-03
+60.000E-03,-14.725E-03,-5.010E-03,-3.767E-03,-35.168E-03
+65.000E-03,-2.806E-03,-5.010E-03,-3.767E-03,-35.168E-03
+70.000E-03,+7.730E-03,-5.010E-03,-3.767E-03,-35.168E-03
+75.000E-03,-4.272E-03,-5.010E-03,-3.918E-03,-35.168E-03
+80.000E-03,-14.216E-03,-4.869E-03,-3.767E-03,-35.168E-03
+85.000E-03,-1.558E-03,-5.010E-03,-3.767E-03,-35.168E-03
+90.000E-03,+9.216E-03,-5.010E-03,-3.988E-03,-35.168E-03
+95.000E-03,-2.690E-03,-5.010E-03,-3.767E-03,-35.168E-03
+100.000E-03,-13.535E-03,-5.010E-03,-3.767E-03,-35.168E-03
+105.000E-03,-1.892E-03,-5.010E-03,-3.767E-03,-35.168E-03
+110.000E-03,+8.129E-03,-5.010E-03,-3.767E-03,-35.168E-03
+115.000E-03,-4.112E-03,-5.010E-03,-3.767E-03,-35.168E-03
+120.000E-03,-15.490E-03,-5.010E-03,-3.978E-03,-35.168E-03
+125.000E-03,-3.533E-03,-5.010E-03,-3.767E-03,-35.168E-03
+130.000E-03,+7.248E-03,-5.010E-03,-3.807E-03,-35.168E-03
+135.000E-03,-2.844E-03,-5.010E-03,-3.767E-03,-35.168E-03
+140.000E-03,-13.174E-03,-5.010E-03,-3.767E-03,-35.168E-03
+145.000E-03,-1.108E-03,-5.010E-03,-3.767E-03,-35.168E-03
+150.000E-03,+10.039E-03,-4.758E-03,-3.767E-03,-35.419E-03
+155.000E-03,-1.455E-03,-4.769E-03,-3.767E-03,-36.424E-03
+160.000E-03,-12.744E-03,-4.980E-03,-3.767E-03,-35.168E-03
+165.000E-03,-1.416E-03,-4.758E-03,-4.019E-03,-35.168E-03
